id,date,temp,humidity,thickness,weight,duration,material_id,weather_cond_id
20,2024-05-07 02:46:30+00,28.00,79.00,2.10,9.40,905.00,5,46
21,2024-05-07 02:50:45+00,28.00,79.00,2.00,9.30,517.00,3,46
22,2024-05-07 04:13:54+00,26.00,89.00,2.30,15.20,943.00,3,45
23,2024-05-07 04:15:34+00,26.00,89.00,1.60,9.10,879.00,5,46
24,2024-05-09 15:07:17+00,29.00,66.00,1.70,7.40,676.00,3,2
25,2024-05-09 15:11:03+00,29.00,66.00,2.00,7.50,773.00,5,2
26,2024-05-09 15:13:10+00,29.00,66.00,1.60,6.00,1796.00,2,2
27,2024-05-09 15:16:29+00,29.00,66.00,1.60,6.20,245.00,4,2
28,2024-05-09 15:22:26+00,29.00,66.00,1.80,7.20,286.00,4,2
29,2024-05-10 05:27:04+00,36.00,47.00,2.10,13.60,350.00,4,2
30,2024-05-10 05:28:21+00,36.00,47.00,2.30,14.00,398.00,4,2
32,2024-05-10 05:31:17+00,36.00,47.00,1.90,7.10,271.00,4,2
49,2024-05-11 06:38:06+00,32.00,63.00,2.40,7.10,245.00,4,2
48,2024-05-11 06:36:12+00,32.00,63.00,2.50,7.10,823.00,3,2
50,2024-05-11 06:39:46+00,32.00,63.00,1.80,14.20,997.00,5,2
51,2024-05-11 06:45:53+00,32.00,63.00,2.70,10.50,2348.00,1,2
52,2024-05-11 06:47:24+00,32.00,63.00,2.40,8.90,2093.00,2,2
53,2024-05-11 07:32:54+00,31.00,71.00,2.50,9.40,1054.00,5,2
54,2024-05-11 07:35:26+00,31.00,71.00,2.30,9.70,2395.00,1,2
55,2024-05-11 07:37:06+00,31.00,71.00,2.00,7.00,1810.00,2,2
39,2024-05-10 10:14:03+00,35.00,53.00,1.60,5.90,1512.00,1,2
2,2024-05-04 04:00:23+00,36.00,57.00,2.00,10.00,508.00,3,2
9,2024-05-04 04:17:18+00,36.00,57.00,1.80,8.10,437.00,3,2
10,2024-05-04 04:08:18+00,36.00,57.00,2.20,9.10,230.00,4,2
11,2024-05-04 04:09:30+00,36.00,57.00,2.20,9.10,267.00,4,2
13,2024-05-04 07:58:22+00,38.00,45.00,2.10,8.30,533.00,3,2
14,2024-05-04 13:06:54+00,33.00,59.00,2.20,6.50,329.00,3,2
15,2024-05-04 14:50:02+00,33.00,59.00,1.50,25.00,2235.00,1,2
16,2024-05-05 15:15:58+00,33.00,67.00,2.70,10.50,829.00,3,2
17,2024-05-05 15:15:58+00,33.00,67.00,2.30,10.20,288.00,4,2
18,2024-05-07 02:41:23+00,28.00,79.00,2.20,9.70,713.00,3,46
19,2024-05-07 02:43:14+00,28.00,79.00,1.70,11.10,657.00,3,46
34,2024-05-10 10:08:19+00,35.00,53.00,2.00,8.20,687.00,5,2
33,2024-05-10 10:04:46+00,35.00,53.00,2.40,9.40,868.00,5,2
35,2024-05-10 10:09:14+00,35.00,53.00,2.00,8.70,811.00,5,2
36,2024-05-10 10:11:07+00,35.00,53.00,1.90,11.70,876.00,5,2
37,2024-05-10 10:12:04+00,35.00,53.00,1.90,8.40,839.00,5,2
38,2024-05-10 10:01:35+00,35.00,53.00,2.00,8.60,1990.00,1,2
40,2024-05-10 10:53:11+00,34.00,60.00,2.30,9.10,361.00,4,2
41,2024-05-10 10:57:36+00,34.00,60.00,2.30,7.90,439.00,3,2
42,2024-05-10 10:59:27+00,34.00,60.00,1.90,8.10,556.00,5,2
43,2024-05-11 04:49:27+00,33.00,59.00,2.50,11.90,528.00,3,2
44,2024-05-11 04:50:44+00,33.00,59.00,2.40,10.40,310.00,4,2
47,2024-05-11 04:57:30+00,33.00,59.00,1.40,3.40,843.00,1,2
45,2024-05-11 04:52:20+00,33.00,59.00,2.40,10.20,891.00,5,2
46,2024-05-11 04:54:44+00,33.00,59.00,2.10,8.40,1406.00,2,2
60,2024-05-11 09:18:12+00,32.00,63.00,2.50,9.40,295.00,4,2
59,2024-05-11 09:16:55+00,32.00,63.00,2.30,8.80,451.00,3,2
56,2024-05-11 09:13:24+00,32.00,63.00,2.50,10.70,2347.00,1,2
58,2024-05-11 09:16:00+00,32.00,63.00,2.60,9.90,931.00,5,2
61,2024-05-11 09:30:08+00,33.00,59.00,2.90,12.50,320.00,4,2
57,2024-05-11 09:14:26+00,32.00,63.00,2.40,9.10,1577.00,2,2
62,2024-05-11 09:31:20+00,33.00,59.00,2.60,11.00,706.00,5,2
63,2024-05-11 09:33:21+00,33.00,59.00,2.60,8.90,594.00,3,2
64,2024-05-11 09:51:49.343943+00,33.00,59.00,1.80,9.50,537.00,4,2
65,2024-05-11 10:11:42.503997+00,33.00,59.00,1.90,9.50,1054.00,5,2
66,2024-05-11 10:12:46.925801+00,33.00,59.00,2.00,8.60,1996.00,2,2
67,2024-05-11 10:40:19.080111+00,33.00,59.00,1.70,9.40,975.00,3,2
